,bbFatJetPt >= 250,ttFatJetPt >= 200,80 â‰¤ ttFatJetParTmassResApplied < 210,bbFatJetParTXbbvsQCD < 0.8 or ttFatJetParTXtauhtauevsQCD < 0.95
JetMET,1051677.0,1032797.0,503544.0,503213.0
Tau,6733.0,6645.0,1786.0,1764.0
EGamma,10722.0,10542.0,3350.0,3341.0
QCD Multijet,811406.4165439917,799168.6395616278,375871.3947922501,375859.87536995934
TT Had,21700.756468088417,21309.712297848942,18268.14252911794,18267.671331011945
TT SL,19705.556629649633,19412.698672796505,17000.058500178795,16859.976310504386
TT LL,3677.972351417679,3621.891780821292,3270.7140342289626,3184.599803863729
DY+Jets,263.0112945798958,256.868455709539,200.83853130403378,185.7153024760951
W+Jets,3813.921315898794,3696.7240960444806,2360.260118561695,2360.31350168356
Z+Jets,12412.617518215184,12178.942674993777,6801.828601493503,6799.89731798771
Hbb,702.6091175547512,687.8610515352301,462.3403835160058,458.63274129153064
ggF HHbb$\tau_h e$,0.06038494213653496,0.059163150914873924,0.048745777375194324,0.01998302563987219
VBF HHbb$\tau_h e$ ($\kappa_{2V}=0$),0.4838269799194923,0.4785656555660215,0.4285481760264581,0.0889424692460101
