,bbFatJetPt >= 250,ttFatJetPt >= 200,80 â‰¤ ttFatJetParTmassResApplied < 210,bbFatJetParTXbbvsQCD >= 0.8,ttFatJetParTXtauhtauevsQCD >= 0.95
JetMET,1051677.0,1032797.0,503544.0,58364.0,331.0
Tau,6733.0,6645.0,1786.0,203.0,22.0
EGamma,10722.0,10542.0,3350.0,396.0,9.0
QCD Multijet,811406.4165439917,799168.6395616278,375871.3947922501,37238.60155720085,11.519422290733115
TT Had,21700.756468088417,21309.712297848942,18268.14252911794,1930.7474983886395,0.47119810599300377
TT SL,19705.556629649633,19412.698672796505,17000.058500178795,1262.7388132006195,140.08218967439728
TT LL,3677.972351417679,3621.891780821292,3270.7140342289626,398.5039478368565,86.11423036523351
DY+Jets,263.0112945798958,256.868455709539,200.83853130403378,39.22592391625366,15.123228827938691
W+Jets,3813.921315898794,3696.7240960444806,2360.260118561695,431.3884053483848,-0.05338312186424993
Z+Jets,12412.617518215184,12178.942674993777,6801.828601493503,1120.197194515218,1.9312835057917637
Hbb,702.6091175547512,687.8610515352301,462.3403835160058,109.7854944235541,3.707642224475266
ggF HHbb$\tau_h e$,0.06038494213653496,0.059163150914873924,0.048745777375194324,0.03367636986942649,0.028762751735322133
VBF HHbb$\tau_h e$ ($\kappa_{2V}=0$),0.4838269799194923,0.4785656555660215,0.4285481760264581,0.34871839341096317,0.3396057067804481
