,bbFatJetPt >= 250,ttFatJetPt >= 200,70 â‰¤ ttFatJetPNetmassLegacy < 150,bbFatJetParTXbbvsQCD < 0.8 or ttFatJetParTXtauhtauhvsQCD < 0.9
JetMET,1186573.0,1163289.0,547142.0,546975.0
Tau,5616.0,5556.0,1720.0,1715.0
QCD Multijet,869152.346167114,855058.983072219,412972.6710760045,412920.7198106
TT Had,22907.77882859464,22457.66713370783,14001.276897787438,13999.220604499445
TT SL,20253.7202127804,19940.34898444985,12152.674386220511,12106.642511067968
TT LL,3759.9139454593146,3699.6076866195967,2299.2740452162307,2271.7879867916736
DY+Jets,256.5363961645679,250.37543137519043,136.2311986516826,123.37420517404777
W+Jets,3951.359286276455,3827.6508062443527,2344.570219951748,2346.9656144470955
Z+Jets,13165.152802956358,12917.548638304888,6873.292877289374,6872.169007207357
Hbb,754.1845164455269,737.7490952174052,448.58308057064784,447.89025398522756
ggF HHbb$\tau_h\tau_h$,0.13303594389252404,0.13084582770564102,0.07569292217035237,0.02955308832156958
VBF HHbb$\tau_h\tau_h$ ($\kappa_{2V}=0$),1.0518235142242922,1.0424788421636715,0.6998044699371418,0.134658212287049
