,bbFatJetPt >= 250,ttFatJetPt >= 200,70 â‰¤ ttFatJetParTmassResApplied < 210,bbFatJetParTXbbvsQCD < 0.855 or ttFatJetParTXtauhtauevsQCDTop < 0.99
JetMET,3419.0,3360.0,1710.0,1700.0
Tau,1095.0,1092.0,302.0,301.0
EGamma,173.0,166.0,54.0,54.0
QCD Multijet,2031.436876777179,1994.11154213589,456.50938845502844,456.50938845502844
TT Had,46.25884085587515,43.10115065663851,21.09996328541616,21.09996328541616
TT SL,226.34974878151354,217.67890863109116,166.15710545651615,165.95820067660824
TT LL,126.46088506414088,121.29531026973154,97.23160494404395,97.06124370460998
DY+Jets,609.9545337275467,607.1442048599713,586.5990816002303,581.7553667547014
W+Jets,39.178677095222156,39.68722194827492,14.959593773395751,14.959593773395751
Z+Jets,40.797908790038505,40.05684907226317,13.674339605547662,13.674339605547662
Hbb,3.0749200789985194,3.0234588296647167,2.002304407038946,1.8088761458996845
ggF HHbb$\tau_h e$,0.052236465678384955,0.05126838475205586,0.047806420127351174,0.02948443632713238
VBF HHbb$\tau_h e$ ($\kappa_{2V}=0$),0.5860381141666122,0.580325312201216,0.5492402030925961,0.243829969069851
