,bbFatJetPt >= 250,ttFatJetPt >= 200,70 â‰¤ ttFatJetParTmassResApplied < 210,bbFatJetParTXbbvsQCD < 0.731 or ttFatJetParTXtauhtaumvsQCDTop < 0.979,ttFatJetParTXtauhtaumvsQCDTop >= 0.3
JetMET,104966.0,102294.0,80135.0,80102.0,4456.0
Tau,5537.0,5469.0,2453.0,2452.0,401.0
Muon,14854.0,14569.0,10473.0,10470.0,409.0
QCD Multijet,29547.25674642909,28859.5479701186,13226.93364248659,13226.885506544299,1033.5883564524531
TT Had,1196.838803099203,1151.9593579813147,896.8987125397591,896.7493394850819,29.859416741507133
TT SL,52031.46435841643,51311.6502006537,48467.4165250351,48465.679562077596,392.61918113279427
TT LL,14296.164397374623,14040.32774261918,13201.713369121826,13199.508479297958,216.46203588722335
DY+Jets,4450.4009145961645,4400.565007208044,4179.892782824087,4165.9161373785355,1596.85616335433
W+Jets,611.047702410432,586.5804228419202,360.36157210246165,360.36157210246165,12.031010425766706
Z+Jets,434.0966599208101,414.6592906253022,198.23193472091862,198.18661842761236,20.932409165723094
Hbb,40.556797054519215,39.82787676150769,30.1517733013516,29.805302299649888,3.9914603352720994
ggF HHbb$\tau_h \mu$,0.18139381392328466,0.17818103453373296,0.16425341464680232,0.10046829142011447,0.05977569201156464
VBF HHbb$\tau_h \mu$ ($\kappa_{2V}=0$),1.7734408447342227,1.7540472196063843,1.6633725728213185,0.6089701120937254,0.4798298244062419
